#PACKET TRACE:


Data for Plotting
time  	 pkt_length  
190.820498442	47
191.27141405	47
191.61896839	47
192.050835307	48
192.29520372	34
192.887560581	55
192.934717619	45
193.918565482	45
194.574793794	45
194.855269425	45
195.643690485	45
195.820200153	45
196.791365211	45
197.295490236	58
197.86262906	58
198.485257958	58
199.100508297	58
199.165934805	58
200.002671386	58
200.907469142	58
201.007469142	53
201.58203408	60
202.1395252	52
202.892634675	49
203.582188503	60
204.542358342	46
204.698199786	46
205.359089462	46
206.004011497	46
206.296467589	46
207.238108593	46
207.994345416	46
208.680160329	62
209.195975872	41
209.756415751	43
210.145805549	44
210.15026637	54
211.000177084	47
211.848681105	49
212.12011923	48
212.155993165	46
212.546475955	29
212.815390825	29
213.64453987	29
214.560999061	29
214.835227731	29
214.840292787	29
214.910987055	29
215.180185276	43
215.589940601	43
215.757016126	43
215.761725004	43
216.636638921	43
217.495282129	43
218.044434123	43
218.454211061	54
218.624759265	47
219.561703989	48
220.15434849	61
220.303613931	61
220.984835747	61
221.725445188	61
222.155642179	61
222.212421122	61
222.708026447	61
223.217705945	48
224.133672213	57
225.061865393	44
225.21770266	49
225.690234144	49
226.659292763	49
226.854322062	49
227.024277125	49
227.980884787	49
228.184496556	49
228.769818895	46
229.040130304	46
229.075548558	46
230.027420984	46
230.788404786	46
231.26399855	46
231.911779127	46
232.011779127	52
232.284010829	51
232.622539474	46
232.703651565	46
232.750805655	46
233.208993756	46
234.187889854	46
235.168887797	46
236.080612036	46
236.449081527	54
237.226481822	54
237.825183278	54
238.674765414	54
238.750042624	54
239.428462969	54
239.863935723	54
239.963935723	48
240.675398666	39
241.162903982	45
241.750434699	61
242.326715436	42
243.100211934	50
243.613949424	50
243.8808473	50
244.309085178	50
244.560912695	50
244.821470823	50
245.046552437	50
246.010041016	48
246.087784155	48
246.84450251	48
247.092596896	48
247.543767114	48
247.937799093	48
248.097426014	48
248.197426014	42
248.979808674	57
249.571581321	57
250.105575917	63
250.534597506	43
250.587050282	46
251.245335012	45
251.421556134	55
251.818780636	49
252.666677882	49
253.470234391	49
253.896489242	49
254.026339834	49
254.595818406	49
255.592845732	49
255.854664465	42
256.590945546	42
257.431097072	42
258.086476276	42
258.936020924	42
259.49921784	42
259.691668303	42
259.791668303	52
260.724963534	52
261.654561018	49
262.136824667	49
262.235855074	49
262.872561137	49
263.394888864	49
263.928622723	49
264.904276351	49
264.986676223	58
265.830507326	40
266.812315517	40
267.780893785	40
267.797333626	40
268.454910565	40
268.584713076	40
269.355385766	40
269.455385766	42
269.487201156	48
270.170601724	34
270.373943138	56
270.613530992	53
271.329015262	49
271.731249169	49
271.733238266	49
272.087146732	49
273.082075375	49
273.574481638	49
273.871286014	49
274.208511381	51
275.059031297	47
275.851033467	47
276.599458842	46
277.578943397	39
278.140441887	39
278.208900414	44
278.518345513	58
278.761088021	52
278.841011727	39
279.5995724	38
280.097411247	32
280.338651073	48
281.077509931	49
281.430224599	49
282.174615082	50
283.042310655	58
283.750959302	58
284.321278662	58
285.296943531	58
286.23676853	58
287.215959207	58
287.753121115	58
287.753121115	59
288.227939868	39
288.691147593	52
289.179097497	52
289.828132959	52
290.541386068	52
291.275712434	52
291.987002117	52
292.289129802	52
292.962477457	43
293.329682673	43
293.371681303	43
293.415484273	43
294.010533247	43
294.448631881	43
294.820095735	43
294.920095735	50
295.286116812	52
295.917711669	43
296.791829679	43
297.704866499	43
297.945758565	43
298.203227042	43
298.33929679	43
299.17223516	43
299.731438036	45
300.453501204	53
300.657457002	43
301.554336889	48
301.985150711	64
302.973905551	64
303.474936635	64
303.533178766	64
304.399553168	64
304.422198462	64
305.263770985	64
305.263770985	44
305.764897344	46
306.288276782	51
306.487933877	51
307.477458081	51
308.313812579	51
308.465725911	51
308.554382031	51
308.998467183	51
309.762692118	55
310.667996803	42
311.525900023	48
311.781315533	51
312.568927529	51
313.141329334	51
313.478450582	51
313.819225356	51
314.226641955	51
314.600802398	51
315.074226508	42
315.557213681	44
316.471878156	47
316.560079259	48
316.729339383	64
317.345518132	46
317.936990814	44
318.702595251	44
319.698584852	44
320.050251392	44
320.554366099	44
321.435631467	44
321.449913635	44
322.031307035	48
322.105836817	49
322.95250516	49
323.594430869	49
324.141711118	49
324.404104731	49
325.077633701	49
325.788108909	49
326.116321882	41
326.941927336	41
326.946452964	41
327.449243292	41
328.138568952	41
329.125831595	41
329.228507923	41
329.428507923	51
330.130326229	43
330.96155049	56
331.340276679	56
332.167146615	56
332.293090666	56
332.733867109	56
333.612048994	56
334.433733655	56
334.574663838	50
335.262060938	45
336.21706656	65
336.885088117	42
336.997788865	42
337.537037109	42
338.200781652	42
338.878210269	42
339.560236229	42
340.093762953	42
340.964063432	50
341.92456209	55
342.8373935	58
343.352399135	40
343.929251431	48
344.440986768	46
344.918981024	47
345.600781973	49
346.027947641	56
346.424719459	55
347.223424489	55
348.153025511	55
348.741149561	55
348.755010842	55
348.983133431	55
349.845346929	55
350.62973613	43
350.869347437	43
351.22297742	43
351.520203502	43
352.320639647	43
352.990900008	43
353.355069964	43
354.08730396	46
354.220779138	46
354.398980113	46
354.729750062	46
355.131804846	46
355.986391732	46
356.059211357	46
356.159211357	46
356.835253734	60
357.238883754	45
357.354640402	50
357.978000181	41
358.106644952	45
358.437133102	45
358.848251987	45
359.73517739	45
360.303454383	45
360.902381808	45
361.472955529	45
361.521698956	51
362.133227659	50
362.365448499	52
363.030821328	50
363.910155539	42
364.499487698	54
365.334334951	63
365.420930752	48
366.41274825	50
367.176630146	51
367.900675303	51
368.843771704	51
368.930214872	51
369.573037086	51
370.35112729	51
370.4127398	51
371.088547753	44
371.826377654	47
372.708779163	47
373.001580634	47
373.154506513	47
373.427739532	47
374.321996838	47
374.439853281	47
374.73596031	46
375.165204026	46
375.902085495	46
376.390666042	46
377.28052395	46
378.075046475	46
378.834852177	46
379.034852177	45
379.978788021	41
380.153246737	47
380.396909171	47
381.378244949	47
382.069926218	47
383.035467525	47
383.699667351	47
384.417744928	47
385.274659723	51
385.867730048	51
386.496554544	51
386.650667198	51
387.38187826	51
387.397128653	51
388.338374597	51
388.438374597	60
389.197383962	49
389.34069451	53
389.894629653	53
390.212719218	53
390.67862673	53
391.425874886	53
391.499948187	53
392.401228768	53
392.402222694	48
392.792045849	48
393.758767273	48
394.066630561	48
394.358639223	48
394.727019213	48
395.657382394	48
395.757382394	52
395.836511584	43
396.799173538	52
397.087833439	52
397.224068648	52
398.091255732	52
399.013746954	52
399.263511838	52
399.776346252	52
400.751789027	47
401.545195413	50
402.007790572	57
402.934940522	61
403.066626674	61
403.134048821	61
403.906441481	61
404.185852559	61
404.191583801	61
404.771125743	61
404.9123973	66
405.742222215	66
405.903888876	66
406.522259335	66
406.821705878	66
407.223899033	66
407.493579482	66
407.593579482	54
408.435085485	58
409.377149205	56
409.696926139	49
410.172764196	57
411.16973653	58
411.362713616	53
411.377090704	54
411.425554473	42
412.14117417	42
413.137476963	42
413.384766061	42
414.05252057	42
414.464653748	42
415.296710938	42
416.118791329	49
416.610133986	49
416.971800712	49
417.870530724	49
418.710430091	49
419.120905966	49
419.932142103	49
420.032142103	41
420.546410437	49
421.241740939	41
421.983506688	41
422.893188617	41
423.846376777	41
424.196803576	41
424.893251992	41
425.193355473	41
425.413475581	52
425.538926063	52
426.195029327	52
427.193868086	52
428.175364805	52
428.448340897	52
428.702772168	52
428.802772168	51
429.147812398	51
429.987389386	51
430.329717323	62
430.674005822	54
430.915991152	58
431.252920913	58
431.890079305	58
432.496007885	58
432.570996629	58
432.856005693	58
433.50417035	58
434.382248992	45
435.013194107	45
435.580741676	45
435.8477059	45
436.575047657	45
437.216659666	45
437.441447267	45
437.541447267	51
438.41302239	59
439.382211375	48
439.794278613	48
439.861246228	48
440.281032499	48
440.423005548	48
441.011894477	48
441.442539086	48
441.751738421	55
441.838688266	47
442.166890526	39
442.670899967	53
443.342276097	46
443.439906913	46
444.227203831	46
444.283032657	46
444.304654843	46
444.518729333	46
445.099484927	46
445.422634924	55
446.290839177	48
446.806193441	44
447.505086738	56
447.645062499	56
448.288327126	56
449.151461689	56
449.724220507	56
449.752390852	56
449.862017602	56
450.265607943	53
451.227220129	53
451.300916052	53
451.736998849	53
452.449153	53
452.470500302	53
453.13691995	53
453.23691995	49
454.153629927	56
454.89885386	53
455.517031026	53
455.603716403	53
456.173023768	53
457.153391729	53
457.155866771	53
458.072571266	53
459.042960467	57
459.368255614	57
460.236096274	57
460.999951482	57
461.906135676	57
462.7418222	57
463.562612752	57
463.662612752	44
463.709958817	51
464.130328953	39
464.823275822	39
464.898769886	39
465.341793783	39
466.082835454	39
466.678107293	39
466.871077703	39
467.632981757	54
467.738645172	61
468.079731095	63
468.624866034	53
469.221908289	53
469.689291823	53
469.781717543	53
469.963828185	53
470.333917363	53
471.323788091	53
472.15171882	40
472.376066641	38
472.601475943	52
473.372194042	39
473.437435249	64
474.08435569	54
474.258036541	43
474.680227213	55
475.155058897	45
475.263462208	54
475.330586357	54
475.995656453	54
476.587372425	54
476.926012454	54
477.142334391	54
477.892250175	54
478.738892685	39
479.446697358	39
479.883534917	39
480.363760574	39
481.221665155	39
481.623464759	39
482.603009606	39
482.703009606	52
483.198700336	50
483.882129302	43
483.953745731	46
484.143350435	49
484.536331378	51
484.613586196	46
485.177494727	54
486.079139927	46
486.573517642	46
486.678315167	46
487.437432705	46
487.75170973	46
488.456658458	46
488.686830252	46
489.282692125	43
489.317176695	43
489.890644653	43
490.290389967	43
491.286654622	43
492.054793652	43
492.555201554	43
492.655201554	45
493.654737591	43
494.052637658	51
